u_p u_o u_r i_mA adc_uo adc_ur dac_val r
0.022581 1.738710 1.716129 14.301076 539 532 215 120
0.022581 1.745161 1.722581 14.354839 541 534 216 120
0.025806 1.754839 1.729032 14.408603 544 536 217 120
0.032258 1.764516 1.732258 14.435484 547 537 218 120
0.032258 1.770968 1.738710 14.489247 549 539 219 120
0.038710 1.780645 1.741935 14.516129 552 540 220 120
0.038710 1.787097 1.748387 14.569893 554 542 221 120
0.045161 1.796774 1.751613 14.596774 557 543 222 120
0.048387 1.803226 1.754839 14.623656 559 544 223 120
0.054839 1.812903 1.758065 14.650537 562 545 224 120
0.054839 1.819355 1.764516 14.704301 564 547 225 120
0.061290 1.829032 1.767742 14.731183 567 548 226 120
0.067742 1.838710 1.770968 14.758064 570 549 227 120
0.070968 1.845161 1.774194 14.784946 572 550 228 120
0.077419 1.854839 1.777419 14.811828 575 551 229 120
0.080645 1.861290 1.780645 14.838710 577 552 230 120
0.083871 1.867742 1.783871 14.865591 579 553 231 120
0.090323 1.877419 1.787097 14.892473 582 554 232 120
0.093548 1.883871 1.790323 14.919354 584 555 233 120
0.100000 1.893548 1.793548 14.946237 587 556 234 120
0.106452 1.903226 1.796774 14.973118 590 557 235 120
0.109677 1.909677 1.800000 15.000000 592 558 236 120
0.116129 1.919355 1.803226 15.026881 595 559 237 120
0.122581 1.925806 1.803226 15.026881 597 559 238 120
0.125806 1.932258 1.806452 15.053763 599 560 239 120
0.132258 1.941936 1.809677 15.080645 602 561 240 120
0.135484 1.948387 1.812903 15.107528 604 562 241 120
0.141935 1.958065 1.816129 15.134409 607 563 242 120
0.151613 1.967742 1.816129 15.134409 610 563 243 120
0.158064 1.977419 1.819355 15.161291 613 564 244 120
0.161290 1.983871 1.822581 15.188172 615 565 245 120
0.164516 1.990323 1.825806 15.215055 617 566 246 120
0.174194 2.000000 1.825806 15.215055 620 566 247 120
0.177419 2.006452 1.829032 15.241936 622 567 248 120
0.180645 2.012903 1.832258 15.268818 624 568 249 120
0.190323 2.022581 1.832258 15.268818 627 568 250 120
0.196774 2.032258 1.835484 15.295699 630 569 251 120
0.200000 2.038710 1.838710 15.322581 632 570 252 120
0.209677 2.048387 1.838710 15.322581 635 570 253 120
0.212903 2.054839 1.841936 15.349463 637 571 254 120
0.219355 2.061290 1.841936 15.349463 639 571 255 120
